case,origin,phase,order,frequency_hz,sequence,Iload_rms,Iload_angle_deg,Iload_real,Iload_imag,Isystem_rms,Isystem_angle_deg,Isystem_real,Isystem_imag,Ifilter_rms,Ifilter_angle_deg,Ifilter_real,Ifilter_imag,Ilinear_rms,Ilinear_angle_deg,Ilinear_real,Ilinear_imag,Vpcc_rms,Vpcc_angle_deg,Vpcc_real,Vpcc_imag,filter_magnitude_pct,system_magnitude_pct,filter_projection_pct,system_projection_pct,linear_projection_pct,kcl_error_a,kcl_error_pct,kcl_real_a,kcl_imag_a
without_filter,ANALYTICAL_REFERENCE,A,1,60.0,positive,99.99999999999997,-179.99999999999935,-99.99999999999997,-1.1681487892607286e-12,100.00000000000021,179.99999999999943,-100.00000000000021,9.89472267462515e-13,0.0,,0.0,0.0,0.0,,0.0,0.0,275.231423359518,-1.5697846050200985,275.1281292110202,-7.539822368622394,0.0,100.00000000000024,-0.0,100.00000000000024,-0.0,2.1711037998279582e-12,2.171103799827959e-12,2.4158453015843406e-13,-2.1576210567232437e-12
without_filter,ANALYTICAL_REFERENCE,A,2,120.0,negative,9.820699276137158e-14,,-3.5170071074516555e-14,9.169339958713246e-14,1.0939387520424874e-13,,-4.019436694230464e-14,1.0174199132270861e-13,0.0,,0.0,0.0,0.0,,0.0,0.0,2.741350858153229e-13,,1.2058310082691391e-13,-2.461904975216159e-13,,,,,,1.1234667099445438e-14,,5.024295867788083e-15,-1.0048591735576153e-14
without_filter,ANALYTICAL_REFERENCE,A,3,180.0,zero,1.1535382849852892e-13,,9.42055475210265e-14,6.657192024819206e-14,1.1692287837493624e-13,,9.043732562018544e-14,7.410836404987418e-14,0.0,,0.0,0.0,0.0,,0.0,0.0,3.0648204793507284e-13,,-3.0145775206728477e-13,-5.5267254545668874e-14,,,,,,8.426000324584078e-15,,3.768221900841053e-15,-7.536443801682118e-15
without_filter,ANALYTICAL_REFERENCE,A,4,240.0,positive,1.289190287802731e-13,,1.2309524876080795e-13,-3.8310255991884105e-14,1.1729336804378347e-13,,1.1555880495912584e-13,-2.009718347115232e-14,0.0,,0.0,0.0,0.0,,0.0,0.0,3.196560178722118e-13,,-3.1653063967064903e-13,-4.4590625826619206e-14,,,,,,1.9710758377630932e-14,,7.536443801682105e-15,-1.8213072520731786e-14
without_filter,ANALYTICAL_REFERENCE,A,5,300.0,negative,20.00000000000001,6.038093139528569e-12,20.00000000000001,2.1076921165370993e-12,20.000000000000043,5.987715723584937e-12,20.000000000000043,2.0901070809998413e-12,0.0,,0.0,0.0,0.0,,0.0,0.0,7.550425243009383,86.96321134656526,0.39999999999992003,7.5398223686154155,0.0,100.00000000000016,0.0,100.00000000000016,0.0,3.649105654832508e-14,1.8245528274162534e-13,-3.197442310920451e-14,1.758503553725802e-14
without_filter,ANALYTICAL_REFERENCE,A,6,360.0,zero,9.636889339578156e-14,,-7.567845650855795e-14,5.966351342998344e-14,1.1939156912778373e-13,,-9.310648279994786e-14,7.473640103334769e-14,0.0,,0.0,0.0,0.0,,0.0,0.0,3.102273850532274e-13,,2.8889701239781457e-13,-1.130466570252318e-13,,,,,,2.3041875815936283e-14,,1.7428026291389905e-14,-1.507288760336425e-14
without_filter,ANALYTICAL_REFERENCE,A,7,420.0,positive,14.000000000000012,20.00000000001416,13.155696691001546,4.788282006562618,13.999999999999995,20.000000000014122,13.155696691001532,4.788282006562603,0.0,,0.0,0.0,0.0,,0.0,0.0,7.394329182880675,107.82987011996774,-2.26408177080172,7.039178773118647,0.0,99.99999999999987,0.0,99.99999999999987,0.0,2.0734733982992197e-14,1.4810524273565843e-13,1.4210854715202004e-14,1.509903313490213e-14
without_filter,ANALYTICAL_REFERENCE,A,8,480.0,negative,1.0965721766439742e-13,,6.877004969034935e-14,8.541302975239736e-14,1.0058020133434581e-13,,6.044855965932534e-14,8.038873388460928e-14,0.0,,0.0,0.0,0.0,,0.0,0.0,2.3153024414401814e-13,,1.3816813636417219e-14,-2.311176099182517e-13,,,,,,9.720635025732857e-15,,8.321490031024012e-15,5.024295867788083e-15
without_filter,ANALYTICAL_REFERENCE,A,9,540.0,zero,1.1044883448157216e-13,,-1.0551021322354968e-13,3.265792314062252e-14,1.0464357043309453e-13,,-1.004859173557616e-13,2.920371973151821e-14,0.0,,0.0,0.0,0.0,,0.0,0.0,8.500568152673366e-14,,8.038873388460928e-14,2.7633627272834437e-14,,,,,,6.097136226011374e-15,,-5.024295867788083e-15,3.4542034091043078e-15
without_filter,ANALYTICAL_REFERENCE,A,10,600.0,positive,1.2727011026514838e-13,,5.966351342998344e-14,1.1241862004175828e-13,1.2627448466429119e-13,,6.217566136387749e-14,1.0990647210786425e-13,0.0,,0.0,0.0,0.0,,0.0,0.0,1.3663521574967582e-13,,-1.632896157031126e-14,-1.3565598843027815e-13,,,,,,3.5527136788005025e-15,,-2.5121479338940478e-15,2.512147933894035e-15
